speciesId,family,stage,attribute,classification,machineClassification,manualVisualOverride,bboxHeightRatio,bboxWidthRatio,centerOffsetX,centerOffsetY,bboxCenterOffsetX,bboxCenterOffsetY,transparentRatio,edgeContact,backgroundSuspicion,cropRisk,scaleOutlier,reason,recommendedAction
m001,F001,1,grass,KEEP,KEEP,false,0.800781,0.847656,-0.00457,0.019469,0,0,0.520283,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m002,F001,2,grass,KEEP,KEEP,false,0.847656,0.847656,0.017201,0.038052,0,0,0.434093,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m003,F001,3,grass,KEEP,KEEP,false,0.84375,0.824219,0.012584,0.046173,0,0,0.430527,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m004,F002,1,fire,KEEP,KEEP,false,0.84375,0.634766,-0.053654,0.017953,0.000977,0.001953,0.688839,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m005,F002,2,fire,KEEP,KEEP,false,0.798828,0.847656,-0.078413,-0.005566,0,0.000977,0.687546,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m006,F002,3,fire,KEEP,KEEP,false,0.6875,0.855469,-0.069248,-0.006685,0,0,0.686764,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m007,F003,1,water,KEEP,KEEP,false,0.978516,0.798828,-0.005144,0.047503,0.000977,0.000977,0.601566,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m008,F003,2,water,KEEP,KEEP,false,0.962891,0.912109,0.028663,0.015833,0.004883,-0.006836,0.505592,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m009,F003,3,water,KEEP,KEEP,false,0.984375,0.978516,0.020181,0.033212,0.000977,-0.001953,0.377533,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m010,F004,1,normal,KEEP,KEEP,false,0.94375,0.678125,0.000776,-0.021967,0.009375,-0.021875,0.598066,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m011,F004,2,normal,MANUAL_REVIEW,MANUAL_REVIEW,false,0.996875,0.95,0.006505,-0.0564,0,-0.001563,0.476624,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m012,F004,3,normal,MANUAL_REVIEW,KEEP,true,0.95,0.90625,0.00617,-0.055227,0.001563,-0.001562,0.53303,false,false,false,false,Manual visual QA: F004 stage2 m011 and stage3 m012 are effectively the same creature/pose; final-stage differentiation is unresolved.,Manual family/stage review before any mutation.
m013,F005,1,normal,NORMALIZE,NORMALIZE,false,0.720703,0.509766,0.001313,0.001382,-0.02832,-0.071289,0.771946,false,false,false,true,,Phase 2: scale/padding/centering only
m014,F005,2,normal,NORMALIZE,NORMALIZE,false,0.75,0.576172,0.000937,0.0007,0.051758,-0.056641,0.790108,false,false,false,true,,Phase 2: scale/padding/centering only
m015,F005,3,normal,KEEP,KEEP,false,0.78125,0.601563,0.000239,0.000489,0.003906,-0.011719,0.62981,false,false,false,true,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m016,F006,1,flying,KEEP,KEEP,false,0.859375,0.867188,-0.022774,-0.029511,0.017578,0.005859,0.627499,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m017,F006,2,flying,KEEP,KEEP,false,0.96875,0.984375,0.000504,-0.028837,0,-0.007813,0.534161,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m018,F006,3,flying,KEEP,KEEP,false,0.988281,0.982422,0.02824,-0.026481,0.000977,-0.001953,0.407284,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m019,F007,1,bug,KEEP,KEEP,false,0.787109,0.902344,-0.008821,0.013493,0.013672,-0.012695,0.612541,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m020,F007,2,bug,KEEP,KEEP,false,0.974609,0.988281,-0.024069,0.013303,0.001953,-0.00293,0.484802,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m021,F007,3,bug,KEEP,KEEP,false,0.994141,0.992188,-0.013178,0.023815,0,0.000977,0.393669,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m022,F008,1,bug,KEEP,KEEP,false,0.929688,0.708984,0.037532,-0.029281,0.036133,0,0.727688,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
