family,attribute,speciesIds,stages,minAdjacentShapeSimilarity,minAdjacentPaletteSimilarity,machineHeuristicConcern,machineHeuristicReason,continuityConcern,concernReason,reviewStatus
F001,grass,m001|m002|m003,1|2|3,0.9374,0.9547,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F002,fire,m004|m005|m006,1|2|3,0.7736,0.9892,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F003,water,m007|m008|m009,1|2|3,0.8648,0.9897,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F004,normal,m010|m011|m012,1|2|3,0.7685,0.8875,false,none detected by silhouette/palette/stage heuristics,true,"Manual visual QA: stage2 m011 and stage3 m012 are effectively duplicate in body, pose and detail, so final-stage differentiation is not established.",VISUAL_CONCERN
F005,normal,m013|m014|m015,1|2|3,0.8009,0.9143,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F006,flying,m016|m017|m018,1|2|3,0.8182,0.9812,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F007,bug,m019|m020|m021,1|2|3,0.9129,0.9793,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F008,bug,m022|m023|m024,1|2|3,0.8023,0.9774,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F009,electric,m025|m026|m027,1|2|3,0.9622,0.9919,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F010,electric,m028|m029|m030,1|2|3,0.9394,0.9985,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F011,ground,m031|m032|m033,1|2|3,0.8999,0.9283,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F012,rock,m034|m035|m036,1|2|3,1,0.9775,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F013,water,m037|m038|m039,1|2|3,0.7679,0.9956,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F014,grass,m040|m041|m042,1|2|3,0.7668,0.9311,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F015,poison,m043|m044|m045,1|2|3,0.8106,0.5617,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F016,fight,m046|m047|m048,1|2|3,0.8064,0.8007,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F017,fairy,m049|m050|m051,1|2|3,0.819,0.972,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F018,psychic,m052|m053|m054,1|2|3,0.8155,0.9196,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
F019,fire,m055|m056|m057,1|2|3,0.896,0.9701,false,none detected by silhouette/palette/stage heuristics,false,No family/stage continuity concern confirmed in overview/family visual review.,VISUAL_CLEAR
